Fecha,Cantidad_de_pixeles,Suma_de_radianza,Media_de_radianza,Desviacion_estandar_de_radianza,Maximo_de_radianza,Minimo_de_radianza,Percentil_25_de_radianza,Percentil_50_de_radianza,Percentil_75_de_radianza
2024-01-03,489,268140.0,548.3435582822086,55.29116612580446,694.0,438.0,506.0,537.0,586.0
2024-01-01,489,760440.0,1555.0920245398772,432.5146872901175,2506.0,142.0,1299.0,1646.0,1836.0
2024-01-05,489,601004.0,1229.047034764826,408.4136399096062,2599.0,62.0,967.0,1247.0,1505.0
2024-01-02,489,808919.0,1654.2310838445808,479.6978277050671,3063.0,171.0,1374.0,1690.0,1922.0
2024-01-04,489,620925.0,1269.7852760736196,410.7770392555127,2205.0,95.0,1023.0,1272.0,1542.0
2024-01-10,489,552049.0,1128.9345603271984,361.00342974859166,2079.0,107.0,906.0,1136.0,1340.0
2024-01-09,489,133734.0,273.4846625766871,200.6616363447452,1103.0,75.0,118.0,214.0,358.0
2024-01-07,489,608555.0,1244.4887525562372,399.4601013529155,2456.0,119.0,982.0,1200.0,1521.0
